month,DK,FI,GB,NO,SE
1995-01,22,21,20,22,21
1995-02,20,20,20,20,20
1995-03,23,23,22,23,23
1995-04,17,18,18,17,18
1995-05,21,21,21,20,21
1995-06,21,21,22,21,20
1995-07,21,21,20,21,21
1995-08,23,23,21,23,23
1995-09,21,21,21,21,21
1995-10,22,22,22,22,22
1995-11,22,22,21,22,22
1995-12,19,18,19,19,19
1996-01,22,22,21,22,22
1996-02,21,21,21,21,21
1996-03,21,21,20,21,21
1996-04,19,20,20,19,20
1996-05,20,21,21,19,20
1996-06,20,19,20,20,19
1996-07,23,23,22,23,23
1996-08,22,22,20,22,22
1996-09,21,21,21,21,21
1996-10,23,23,23,23,23
1996-11,21,21,21,21,21
1996-12,20,18,20,20,18
1997-01,22,21,21,22,21
1997-02,20,20,20,20,20
1997-03,18,19,18,18,19
1997-04,21,22,22,22,22
1997-05,20,20,20,19,19
1997-06,21,20,21,21,20
1997-07,23,23,23,23,23
1997-08,21,21,19,21,21
1997-09,22,22,22,22,22
1997-10,23,23,23,23,23
1997-11,20,20,20,20,20
1997-12,21,20,21,21,19
1998-01,21,20,20,21,20
1998-02,20,20,20,20,20
1998-03,22,22,21,22,22
1998-04,19,20,20,19,20
1998-05,19,19,19,19,19
1998-06,21,21,22,21,20
1998-07,23,23,23,23,23
1998-08,21,21,19,21,21
1998-09,22,22,22,22,22
1998-10,22,22,22,22,22
1998-11,21,21,20,21,21
1998-12,22,21,21,22,20
1999-01,20,19,19,20,19
1999-02,20,20,20,20,20
1999-03,23,23,22,23,23
1999-04,18,20,20,19,20
1999-05,19,20,19,18,19
1999-06,22,21,22,22,21
1999-07,22,22,21,22,22
1999-08,22,22,20,22,22
1999-09,22,22,22,22,22
1999-10,21,21,21,21,21
1999-11,22,22,21,22,22
1999-12,23,21,20,23,21
2000-01,21,20,19,21,20
2000-02,21,21,21,21,21
2000-03,23,23,22,23,23
2000-04,17,18,18,17,18
2000-05,22,22,21,21,22
2000-06,20,20,22,20,19
2000-07,21,21,20,21,21
2000-08,23,23,21,23,23
2000-09,21,21,21,21,21
2000-10,22,22,22,22,22
2000-11,22,22,21,22,22
2000-12,19,18,19,19,19
2001-01,22,22,21,22,22
2001-02,20,20,20,20,20
2001-03,22,22,21,22,22
2001-04,18,19,19,18,19
2001-05,21,21,21,20,21
2001-06,20,20,21,20,19
2001-07,22,22,21,22,22
2001-08,23,23,21,23,23
2001-09,20,20,20,20,20
2001-10,23,23,23,23,23
2001-11,22,22,21,22,22
2001-12,19,17,19,19,17
2002-01,22,22,21,22,22
2002-02,20,20,20,20,20
2002-03,19,20,19,19,20
2002-04,20,21,21,21,21
2002-05,21,21,21,19,20
2002-06,20,19,19,20,19
2002-07,23,23,22,23,23
2002-08,22,22,20,22,22
2002-09,21,21,21,21,21
2002-10,23,23,23,23,23
2002-11,21,21,21,21,21
2002-12,20,18,20,20,18
2003-01,22,21,21,22,21
2003-02,20,20,20,20,20
2003-03,21,21,20,21,21
2003-04,19,20,20,19,20
2003-05,20,20,20,20,20
2003-06,20,20,21,20,19
2003-07,23,23,23,23,23
2003-08,21,21,19,21,21
2003-09,22,22,22,22,22
2003-10,23,23,23,23,23
2003-11,20,20,20,20,20
2003-12,21,20,21,21,19
2004-01,21,20,20,21,20
2004-02,20,20,20,20,20
2004-03,23,23,22,23,23
2004-04,19,20,20,19,20
2004-05,18,20,19,18,19
2004-06,22,21,22,22,21
2004-07,22,22,21,22,22
2004-08,22,22,20,22,22
2004-09,22,22,22,22,22
2004-10,21,21,21,21,21
2004-11,22,22,21,22,22
2004-12,23,21,21,23,21
2005-01,21,20,19,21,20
2005-02,20,20,20,20,20
2005-03,20,21,20,20,21
2005-04,20,21,21,21,21
2005-05,20,21,20,19,21
2005-06,22,21,22,22,20
2005-07,21,21,20,21,21
2005-08,23,23,21,23,23
2005-09,22,22,22,22,22
2005-10,21,21,21,21,21
2005-11,22,22,21,22,22
2005-12,21,20,20,21,21
2006-01,22,21,20,22,21
2006-02,20,20,20,20,20
2006-03,23,23,22,23,23
2006-04,17,18,18,17,18
2006-05,21,21,21,20,21
2006-06,21,21,22,21,20
2006-07,21,21,20,21,21
2006-08,23,23,21,23,23
2006-09,21,21,21,21,21
2006-10,22,22,22,22,22
2006-11,22,22,21,22,22
2006-12,19,18,19,19,19
2007-01,22,22,21,22,22
2007-02,20,20,20,20,20
2007-03,22,22,21,22,22
2007-04,18,19,19,18,19
2007-05,20,21,21,20,21
2007-06,21,20,21,21,19
2007-07,22,22,21,22,22
2007-08,23,23,21,23,23
2007-09,20,20,20,20,20
2007-10,23,23,23,23,23
2007-11,22,22,21,22,22
2007-12,19,17,19,19,17
2008-01,22,22,21,22,22
2008-02,21,21,21,21,21
2008-03,18,19,18,18,19
2008-04,21,22,22,22,22
2008-05,20,21,20,20,21
2008-06,21,20,21,21,19
2008-07,23,23,23,23,23
2008-08,21,21,19,21,21
2008-09,22,22,22,22,22
2008-10,23,23,23,23,23
2008-11,20,20,20,20,20
2008-12,21,20,21,21,19
2009-01,21,20,20,21,20
2009-02,20,20,20,20,20
2009-03,22,22,21,22,22
2009-04,19,20,20,19,20
2009-05,19,19,19,19,19
2009-06,21,21,22,21,21
2009-07,23,23,23,23,23
2009-08,21,21,19,21,21
2009-09,22,22,22,22,22
2009-10,22,22,22,22,22
2009-11,21,21,20,21,21
2009-12,22,21,21,22,20
2010-01,20,19,19,20,19
2010-02,20,20,20,20,20
2010-03,23,23,22,23,23
2010-04,18,20,20,19,20
2010-05,19,20,19,18,20
2010-06,22,21,22,22,21
2010-07,22,22,21,22,22
2010-08,22,22,20,22,22
2010-09,22,22,22,22,22
2010-10,21,21,21,21,21
2010-11,22,22,21,22,22
2010-12,23,21,21,23,21
2011-01,21,20,19,21,20
2011-02,20,20,20,20,20
2011-03,23,23,22,23,23
2011-04,18,19,18,18,19
2011-05,21,22,20,21,22
2011-06,20,20,22,20,19
2011-07,21,21,20,21,21
2011-08,23,23,21,23,23
2011-09,22,22,22,22,22
2011-10,21,21,21,21,21
2011-11,22,22,21,22,22
2011-12,21,20,20,21,21
2012-01,22,21,20,22,21
2012-02,21,21,21,21,21
2012-03,22,22,21,22,22
2012-04,18,19,19,18,19
2012-05,20,21,22,20,21
2012-06,21,20,19,21,19
2012-07,22,22,21,22,22
2012-08,23,23,21,23,23
2012-09,20,20,20,20,20
2012-10,23,23,23,23,23
2012-11,22,22,21,22,22
2012-12,19,17,19,19,17
2013-01,22,22,21,22,22
2013-02,20,20,20,20,20
2013-03,19,20,19,19,20
2013-04,20,21,21,21,21
2013-05,21,21,21,19,21
2013-06,20,19,20,20,18
2013-07,23,23,22,23,23
2013-08,22,22,20,22,22
2013-09,21,21,21,21,21
2013-10,23,23,23,23,23
2013-11,21,21,21,21,21
2013-12,20,18,20,20,18
2014-01,22,21,21,22,21
2014-02,20,20,20,20,20
2014-03,21,21,20,21,21
2014-04,19,20,20,19,20
2014-05,20,20,20,20,20
2014-06,20,20,21,20,19
2014-07,23,23,23,23,23
2014-08,21,21,19,21,21
2014-09,22,22,22,22,22
2014-10,23,23,23,23,23
2014-11,20,20,20,20,20
2014-12,21,20,21,21,19
2015-01,21,20,20,21,20
2015-02,20,20,20,20,20
2015-03,22,22,21,22,22
2015-04,19,20,20,19,20
2015-05,18,19,19,18,19
2015-06,22,21,22,22,21
2015-07,23,23,23,23,23
2015-08,21,21,19,21,21
2015-09,22,22,22,22,22
2015-10,22,22,22,22,22
2015-11,21,21,20,21,21
2015-12,22,21,21,22,20
2016-01,20,19,19,20,19
2016-02,21,21,21,21,21
2016-03,20,21,20,20,21
2016-04,20,21,21,21,21
2016-05,20,21,20,19,21
2016-06,22,21,22,22,20
2016-07,21,21,20,21,21
2016-08,23,23,21,23,23
2016-09,22,22,22,22,22
2016-10,21,21,21,21,21
2016-11,22,22,21,22,22
2016-12,21,20,20,21,21
2017-01,22,21,20,22,21
2017-02,20,20,20,20,20
2017-03,23,23,22,23,23
2017-04,17,18,18,17,18
2017-05,21,21,21,20,21
2017-06,21,21,22,21,20
2017-07,21,21,20,21,21
2017-08,23,23,21,23,23
2017-09,21,21,21,21,21
2017-10,22,22,22,22,22
2017-11,22,22,21,22,22
2017-12,19,18,19,19,19
2018-01,22,22,21,22,22
2018-02,20,20,20,20,20
2018-03,20,21,20,20,21
2018-04,19,20,20,20,20
2018-05,21,21,21,19,21
2018-06,21,20,21,21,19
2018-07,22,22,21,22,22
2018-08,23,23,21,23,23
2018-09,20,20,20,20,20
2018-10,23,23,23,23,23
2018-11,22,22,21,22,22
2018-12,19,17,19,19,17
2019-01,22,22,21,22,22
2019-02,20,20,20,20,20
2019-03,21,21,20,21,21
2019-04,19,20,20,19,20
2019-05,21,21,21,20,21
2019-06,19,19,20,19,18
2019-07,23,23,22,23,23
2019-08,22,22,20,22,22
2019-09,21,21,21,21,21
2019-10,23,23,23,23,23
2019-11,21,21,21,21,21
2019-12,20,18,20,20,18
2020-01,22,21,21,22,21
2020-02,20,20,20,20,20
2020-03,22,22,21,22,22
2020-04,19,20,20,19,20
2020-05,19,19,19,19,19
2020-06,21,21,22,21,21
2020-07,23,23,23,23,23
2020-08,21,21,19,21,21
2020-09,22,22,22,22,22
2020-10,22,22,22,22,22
2020-11,21,21,20,21,21
2020-12,22,21,21,22,20
2021-01,20,19,19,20,19
2021-02,20,20,20,20,20
2021-03,23,23,22,23,23
2021-04,18,20,20,19,20
2021-05,19,20,19,18,20
2021-06,22,21,22,22,21
2021-07,22,22,21,22,22
2021-08,22,22,20,22,22
2021-09,22,22,22,22,22
2021-10,21,21,21,21,21
2021-11,22,22,21,22,22
2021-12,23,21,21,23,21
2022-01,21,20,19,21,20
2022-02,20,20,20,20,20
2022-03,23,23,22,23,23
2022-04,18,19,19,18,19
2022-05,20,21,21,20,21
2022-06,21,21,20,21,20
2022-07,21,21,20,21,21
2022-08,23,23,21,23,23
2022-09,22,22,21,22,22
2022-10,21,21,21,21,21
2022-11,22,22,21,22,22
2022-12,21,20,20,21,21
2023-01,22,21,20,22,21
2023-02,20,20,20,20,20
2023-03,23,23,22,23,23
2023-04,17,18,18,17,18
2023-05,20,21,20,19,21
2023-06,22,21,22,22,20
2023-07,21,21,20,21,21
2023-08,23,23,21,23,23
2023-09,21,21,21,21,21
2023-10,22,22,22,22,22
2023-11,22,22,21,22,22
2023-12,19,18,19,19,19
2024-01,22,22,21,22,22
2024-02,21,21,21,21,21
2024-03,19,20,19,19,20
2024-04,21,21,21,21,21
2024-05,21,21,21,19,21
2024-06,20,19,20,20,18
2024-07,23,23,22,23,23
2024-08,22,22,20,22,22
2024-09,21,21,21,21,21
2024-10,23,23,23,23,23
2024-11,21,21,21,21,21
2024-12,20,18,20,20,18
2025-01,22,21,21,22,21
2025-02,20,20,20,20,20
2025-03,21,21,20,21,21
2025-04,19,20,20,19,20
2025-05,21,20,20,20,20
2025-06,20,20,21,20,19
2025-07,23,23,23,23,23
2025-08,21,21,19,21,21
2025-09,22,22,22,22,22
2025-10,23,23,23,23,23
2025-11,20,20,20,20,20
2025-12,21,20,21,21,19
2026-01,21,20,20,21,20
2026-02,20,20,20,20,20
2026-03,22,22,21,22,22
2026-04,19,20,20,19,20
2026-05,19,19,19,18,19
2026-06,22,21,22,22,21
2026-07,23,23,23,23,23
2026-08,21,21,19,21,21
2026-09,22,22,22,22,22
2026-10,22,22,22,22,22
2026-11,21,21,20,21,21
2026-12,22,21,21,22,20
2027-01,20,19,19,20,19
2027-02,20,20,20,20,20
2027-03,20,21,20,20,21
2027-04,22,22,22,22,22
2027-05,19,20,19,19,20
2027-06,22,21,22,22,21
2027-07,22,22,21,22,22
2027-08,22,22,20,22,22
2027-09,22,22,22,22,22
2027-10,21,21,21,21,21
2027-11,22,22,21,22,22
2027-12,23,21,21,23,21
2028-01,21,20,19,21,20
2028-02,21,21,21,21,21
2028-03,23,23,22,23,23
2028-04,17,18,18,17,18
2028-05,22,21,21,20,21
2028-06,21,21,22,21,20
2028-07,21,21,20,21,21
2028-08,23,23,21,23,23
2028-09,21,21,21,21,21
2028-10,22,22,22,22,22
2028-11,22,22,21,22,22
2028-12,19,18,19,19,19
2029-01,22,22,21,22,22
2029-02,20,20,20,20,20
2029-03,20,21,20,20,21
2029-04,20,20,20,20,20
2029-05,21,21,21,19,21
2029-06,21,20,21,21,19
2029-07,22,22,21,22,22
2029-08,23,23,21,23,23
2029-09,20,20,20,20,20
2029-10,23,23,23,23,23
2029-11,22,22,21,22,22
2029-12,19,17,19,19,17
2030-01,22,22,21,22,22
2030-02,20,20,20,20,20
2030-03,21,21,20,21,21
2030-04,19,20,20,19,20
2030-05,22,21,21,20,21
2030-06,19,19,20,19,18
2030-07,23,23,22,23,23
2030-08,22,22,20,22,22
2030-09,21,21,21,21,21
2030-10,23,23,23,23,23
2030-11,21,21,21,21,21
2030-12,20,18,20,20,18
2031-01,22,21,21,22,21
2031-02,20,20,20,20,20
2031-03,21,21,20,21,21
2031-04,19,20,20,19,20
2031-05,21,20,20,20,20
2031-06,20,20,21,20,19
2031-07,23,23,23,23,23
2031-08,21,21,19,21,21
2031-09,22,22,22,22,22
2031-10,23,23,23,23,23
2031-11,20,20,20,20,20
2031-12,21,20,21,21,19
2032-01,21,20,20,21,20
2032-02,20,20,20,20,20
2032-03,20,21,20,20,21
2032-04,22,22,22,22,22
2032-05,19,20,19,19,20
2032-06,22,21,22,22,21
2032-07,22,22,21,22,22
2032-08,22,22,20,22,22
2032-09,22,22,22,22,22
2032-10,21,21,21,21,21
2032-11,22,22,21,22,22
2032-12,23,21,21,23,21
2033-01,21,20,19,21,20
2033-02,20,20,20,20,20
2033-03,23,23,22,23,23
2033-04,18,19,19,18,19
2033-05,21,21,20,20,21
2033-06,21,21,22,21,20
2033-07,21,21,20,21,21
2033-08,23,23,21,23,23
2033-09,22,22,22,22,22
2033-10,21,21,21,21,21
2033-11,22,22,21,22,22
2033-12,21,20,20,21,21
2034-01,22,21,20,22,21
2034-02,20,20,20,20,20
2034-03,23,23,22,23,23
2034-04,17,18,18,17,18
2034-05,21,21,21,19,21
2034-06,22,21,22,22,20
2034-07,21,21,20,21,21
2034-08,23,23,21,23,23
2034-09,21,21,21,21,21
2034-10,22,22,22,22,22
2034-11,22,22,21,22,22
2034-12,19,18,19,19,19
2035-01,22,22,21,22,22
2035-02,20,20,20,20,20
2035-03,19,20,19,19,20
2035-04,21,21,21,21,21
2035-05,21,21,21,19,21
2035-06,21,20,21,21,19
2035-07,22,22,21,22,22
2035-08,23,23,21,23,23
2035-09,20,20,20,20,20
2035-10,23,23,23,23,23
2035-11,22,22,21,22,22
2035-12,19,17,19,19,17
2036-01,22,22,21,22,22
2036-02,21,21,21,21,21
2036-03,21,21,20,21,21
2036-04,19,20,20,19,20
2036-05,21,20,20,20,20
2036-06,20,20,21,20,19
2036-07,23,23,23,23,23
2036-08,21,21,19,21,21
2036-09,22,22,22,22,22
2036-10,23,23,23,23,23
2036-11,20,20,20,20,20
2036-12,21,20,21,21,19
2037-01,21,20,20,21,20
2037-02,20,20,20,20,20
2037-03,22,22,21,22,22
2037-04,19,20,20,19,20
2037-05,19,19,19,18,19
2037-06,22,21,22,22,21
2037-07,23,23,23,23,23
2037-08,21,21,19,21,21
2037-09,22,22,22,22,22
2037-10,22,22,22,22,22
2037-11,21,21,20,21,21
2037-12,22,21,21,22,20
2038-01,20,19,19,20,19
2038-02,20,20,20,20,20
2038-03,23,23,22,23,23
2038-04,19,20,20,19,20
2038-05,21,21,19,20,21
2038-06,20,20,22,20,20
2038-07,22,22,21,22,22
2038-08,22,22,20,22,22
2038-09,22,22,22,22,22
2038-10,21,21,21,21,21
2038-11,22,22,21,22,22
2038-12,23,21,21,23,21
2039-01,21,20,19,21,20
2039-02,20,20,20,20,20
2039-03,23,23,22,23,23
2039-04,18,19,19,18,19
2039-05,20,21,20,19,21
2039-06,22,21,22,22,20
2039-07,21,21,20,21,21
2039-08,23,23,21,23,23
2039-09,22,22,22,22,22
2039-10,21,21,21,21,21
2039-11,22,22,21,22,22
2039-12,21,20,20,21,21
2040-01,22,21,20,22,21
2040-02,21,21,21,21,21
2040-03,20,21,20,20,21
2040-04,20,20,20,20,20
2040-05,21,21,21,19,21
2040-06,21,20,21,21,19
2040-07,22,22,21,22,22
2040-08,23,23,21,23,23
2040-09,20,20,20,20,20
2040-10,23,23,23,23,23
2040-11,22,22,21,22,22
2040-12,19,17,19,19,17
2041-01,22,22,21,22,22
2041-02,20,20,20,20,20
2041-03,21,21,20,21,21
2041-04,19,20,20,19,20
2041-05,22,21,21,20,21
2041-06,19,19,20,19,18
2041-07,23,23,22,23,23
2041-08,22,22,20,22,22
2041-09,21,21,21,21,21
2041-10,23,23,23,23,23
2041-11,21,21,21,21,21
2041-12,20,18,20,20,18
2042-01,22,21,21,22,21
2042-02,20,20,20,20,20
2042-03,21,21,20,21,21
2042-04,19,20,20,19,20
2042-05,20,20,20,19,20
2042-06,21,20,21,21,19
2042-07,23,23,23,23,23
2042-08,21,21,19,21,21
2042-09,22,22,22,22,22
2042-10,23,23,23,23,23
2042-11,20,20,20,20,20
2042-12,21,20,21,21,19
2043-01,21,20,20,21,20
2043-02,20,20,20,20,20
2043-03,19,20,19,19,20
2043-04,22,22,22,22,22
2043-05,19,19,19,18,19
2043-06,22,21,22,22,21
2043-07,23,23,23,23,23
2043-08,21,21,19,21,21
2043-09,22,22,22,22,22
2043-10,22,22,22,22,22
2043-11,21,21,20,21,21
2043-12,22,21,21,22,20
2044-01,20,19,19,20,19
2044-02,21,21,21,21,21
2044-03,23,23,22,23,23
2044-04,18,19,19,18,19
2044-05,21,21,20,20,21
2044-06,21,21,22,21,20
2044-07,21,21,20,21,21
2044-08,23,23,21,23,23
2044-09,22,22,22,22,22
2044-10,21,21,21,21,21
2044-11,22,22,21,22,22
2044-12,17,16,17,17,21
